,user,text,favorite_count,retweet_count,created_at
0,elonmusk,@TheRabbitHole84 Marx was a trust fund kid,3553,293,2023-02-21 05:52:30+00:00
1,elonmusk,@Kristennetten Maye it ever be so,3136,207,2023-02-21 05:08:24+00:00
2,elonmusk,@CZ_1977 @paulg @Liv_Boeree 🔥,385,37,2023-02-21 04:26:16+00:00
3,elonmusk,@cb_doge 🔥,4077,199,2023-02-21 03:38:06+00:00
4,elonmusk,@AdamLowisz @paulg @Liv_Boeree 🤣,785,62,2023-02-21 02:25:11+00:00
5,elonmusk,"@paulg @Liv_Boeree A large collection of GPUs is neither male nor female, but it is binary lol",2143,104,2023-02-21 02:19:54+00:00
6,elonmusk,@davidad The Internet is its memory,3555,240,2023-02-21 02:16:22+00:00
7,elonmusk,@Rainmaker1973 !,2188,122,2023-02-21 02:14:07+00:00
8,elonmusk,"@paulg @engineers_feed An ideal air conditioner should optimize temperature &amp; humidity, while filtering out particulate &amp; pathogens",2017,132,2023-02-21 02:10:19+00:00
9,elonmusk,@whyvert I was one of those who incorrectly thought incarceration rates had increased. Such a big decrease is surprising to learn.,866,68,2023-02-21 01:43:58+00:00
10,elonmusk,@KanekoaTheGreat @DavidSacks @amuse Very important thread,6930,1122,2023-02-20 23:08:40+00:00
11,elonmusk,@KanekoaTheGreat @DavidSacks @amuse Major problem,10298,817,2023-02-20 23:07:29+00:00
12,elonmusk,@micsolana Exactly,3639,167,2023-02-20 22:03:31+00:00
13,elonmusk,@masegoslin @Tesla Nice work,1097,67,2023-02-20 21:19:38+00:00
14,elonmusk,@minliangtan 🔥,13995,483,2023-02-20 20:16:04+00:00
15,elonmusk,@troonytoons Yes,7995,255,2023-02-20 07:28:33+00:00
16,elonmusk,@amazonholder1 🔥 comments 🤣,12013,361,2023-02-20 06:05:23+00:00
17,elonmusk,@JaromeBellVA Agreed,116524,3148,2023-02-20 02:59:17+00:00
18,elonmusk,@TheRabbitHole84 🧐,14878,481,2023-02-20 02:55:48+00:00
19,elonmusk,@tobyordoxford Yikes,10394,568,2023-02-19 23:23:38+00:00
20,elonmusk,@ggreenwald BasedAI,3533,249,2023-02-19 23:17:21+00:00
21,elonmusk,!! https://t.co/33PlgYee55,74523,8503,2023-02-19 21:20:19+00:00
22,elonmusk,!! https://t.co/dM3edFAeJt,41316,3531,2023-02-19 21:18:49+00:00
23,elonmusk,@unusual_whales Imagine this is your 🍆 … now I will explain with my hands,30157,1357,2023-02-19 20:10:14+00:00
24,elonmusk,@TheBabylonBee 🤣🤣,6404,274,2023-02-19 20:08:31+00:00
25,elonmusk,@EvaFoxU 🤣,58098,1352,2023-02-19 19:59:04+00:00
26,elonmusk,@disclosetv Inevitable,44613,1785,2023-02-19 19:51:18+00:00
27,elonmusk,@garrytan Yikes,7693,410,2023-02-19 19:42:52+00:00
28,elonmusk,@sriramk Exactly,1559,86,2023-02-19 19:38:27+00:00
29,elonmusk,@DeptofDefense @DoD_ODEI Your strategic imperative is defending the United States,129173,13057,2023-02-19 19:30:50+00:00
30,elonmusk,"@emollick Good use of long tweet! Next update will allow much longer tweets with basic formatting, so you can post any content on Twitter. 

We’re also spinning up subscriptions, so you can charge people for some content and they can easily pay with one click.",8274,692,2023-02-19 19:23:12+00:00
31,elonmusk,@ashleevance 😬,1159,67,2023-02-19 19:00:50+00:00
32,elonmusk,https://t.co/Az4RSAMvoE,96551,3884,2023-02-19 18:56:39+00:00
33,elonmusk,https://t.co/qzDTuGsZY1,252121,16274,2023-02-19 18:51:50+00:00
34,elonmusk,@jordanbpeterson I mean nobody is *that* smart,10859,408,2023-02-19 18:49:00+00:00
35,elonmusk,@jordanbpeterson Especially if they say they’re an expert at both. Dead giveaway.,45999,2388,2023-02-19 18:47:01+00:00
36,elonmusk,"All things in moderation, 
especially content moderation https://t.co/B1JQFC7Ojh",91047,8028,2023-02-19 18:39:06+00:00
37,elonmusk,"@DrJBhattacharya There is harmful content moderation too, but yes",10112,674,2023-02-19 10:49:20+00:00
38,elonmusk,@dogeofficialceo lol,9697,356,2023-02-19 10:44:23+00:00
39,elonmusk,BingChatGPT reminds me of Lucky in Waiting for Godot,65426,4066,2023-02-19 10:44:00+00:00
40,elonmusk,@BillyM2k @lexfridman Vampire Survivors,3070,199,2023-02-19 10:02:23+00:00
41,elonmusk,https://t.co/O3nGpfeRZ7,482286,30393,2023-02-19 09:59:41+00:00
42,elonmusk,More Twitter Files from Matt Taibbi https://t.co/ks20OYmRhQ,62242,9375,2023-02-19 02:42:42+00:00
43,elonmusk,@BillyM2k @MoonlitMonkey69 🤣💯,3122,182,2023-02-19 02:37:26+00:00
44,elonmusk,Use of free authentication apps for 2FA will remain free and are much more secure than SMS https://t.co/pFMdxWPlai,51520,5161,2023-02-18 21:37:03+00:00
45,elonmusk,@ahmadtariq07 Using an authenticator app is much more secure,7440,302,2023-02-18 21:22:21+00:00
46,elonmusk,Surround your house with treadmills set to jogging speed to stop walking dead ur welcome https://t.co/4HgUSONvzw,468946,33581,2023-02-18 21:19:27+00:00
47,elonmusk,@teslaownersSV The finest in apocalypse defense technology!,25355,1156,2023-02-18 21:05:17+00:00
48,elonmusk,@BillyM2k @velvetcrowes_ Exactly,1124,71,2023-02-18 19:48:27+00:00
49,elonmusk,@KanekoaTheGreat Feels like a long time ago,8869,392,2023-02-18 19:40:32+00:00
50,elonmusk,@Chad_Hurley It’s great 😂,13618,446,2023-02-18 19:31:30+00:00
